workload,shape_preset,domain,tag,mode,status,elapsed_wall_s,median_ms,p25_ms,p99_ms
llm_topk_sampling_prep,prefill,llm,sampling,max-autotune,ok,1.1643956690095365,11.901439666748047,11.899184226989746,11.910120887756348
llm_topk_sampling_prep,prefill,llm,softmax,max-autotune-no-cudagraphs,ok,1.1413227800512686,10.012239933013916,10.010767698287964,10.016658906936646
llm_topk_sampling_prep,prefill,llm,topk,max-autotune-no-cudagraphs,ok,1.1413227800512686,10.012239933013916,10.010767698287964,10.016658906936646
llm_topk_sampling_prep,prefill,llm,sampling,max-autotune-no-cudagraphs,ok,1.1413227800512686,10.012239933013916,10.010767698287964,10.016658906936646
llm_moe_router,prefill,llm,gemm,eager,ok,1.0512414500117302,0.17017599940299988,0.16924799978733063,0.1722559928894043
llm_moe_router,prefill,llm,softmax,eager,ok,1.0512414500117302,0.17017599940299988,0.16924799978733063,0.1722559928894043
llm_moe_router,prefill,llm,topk,eager,ok,1.0512414500117302,0.17017599940299988,0.16924799978733063,0.1722559928894043
llm_moe_router,prefill,llm,gemm,default,ok,0.9924838219303638,0.1582079976797104,0.15727999806404114,0.1613440066576004
llm_moe_router,prefill,llm,softmax,default,ok,0.9924838219303638,0.1582079976797104,0.15727999806404114,0.1613440066576004
llm_moe_router,prefill,llm,topk,default,ok,0.9924838219303638,0.1582079976797104,0.15727999806404114,0.1613440066576004
llm_moe_router,prefill,llm,gemm,reduce-overhead,ok,0.9806318420451134,0.28598400950431824,0.2850239872932434,0.28838399052619934
llm_moe_router,prefill,llm,softmax,reduce-overhead,ok,0.9806318420451134,0.28598400950431824,0.2850239872932434,0.28838399052619934
llm_moe_router,prefill,llm,topk,reduce-overhead,ok,0.9806318420451134,0.28598400950431824,0.2850239872932434,0.28838399052619934
llm_moe_router,prefill,llm,gemm,max-autotune,ok,1.0879909459035844,0.2879360020160675,0.2869119942188263,0.29043200612068176
llm_moe_router,prefill,llm,softmax,max-autotune,ok,1.0879909459035844,0.2879360020160675,0.2869119942188263,0.29043200612068176
llm_moe_router,prefill,llm,topk,max-autotune,ok,1.0879909459035844,0.2879360020160675,0.2869119942188263,0.29043200612068176
llm_moe_router,prefill,llm,gemm,max-autotune-no-cudagraphs,ok,1.0633281919872388,0.15641599893569946,0.1554879993200302,0.15916800498962402
